Year,Garda_Station,
2019,Ballymun,
2019,Dublin Airport,
2019,Santry,
2019,Coolock,
2019,Malahide,
2019,Swords,
2019,Clontarf,
2019,Howth,
2019,Raheny,
2019,Blanchardstown,
2019,Cabra,
2019,Finglas,
